52.54;55.50;52.24;55.45;2638948
56.00;57.23;55.01;56.39;4264610
56.39;56.75;54.60;55.00;2970128
55.58;56.25;53.63;53.63;2113804
53.25;54.34;51.60;52.47;3306712
52.62;52.76;51.52;52.20;2223992
51.30;54.00;50.56;53.69;6200884
53.70;53.70;50.50;50.50;10675676
49.30;49.30;47.18;47.84;10366486
47.595;48.45;47.075;47.49;6766522
47.50;48.175;47.21;47.50;7280550
47.40;47.58;45.85;45.94;10318189
46.80;48.57;46.65;48.08;13286869
47.80;48.96;47.665;48.11;9325545
47.85;48.49;47.11;47.11;7666895
47.155;48.775;47.12;48.76;7081536
48.55;49.345;48.07;49.00;7363115
49.55;49.63;47.25;48.59;3420611
47.35;47.945;47.115;47.485;2924632
48.78;49.34;48.175;48.245;5061685
48.55;49.20;46.60;46.865;4588277
46.56;46.865;45.02;45.325;5151328
45.08;45.20;43.40;43.56;5066023
43.895;46.515;42.80;46.135;5682869
46.90;47.27;45.00;45.38;10996038
45.315;45.995;44.62;45.59;3655830
44.505;44.87;42.68;43.65;6231383
45.20;46.23;44.86;45.64;5400129
45.25;46.38;44.07;46.12;2850298
45.84;47.11;45.25;46.915;3650821
47.80;48.845;47.50;48.845;3800760
48.57;49.40;48.335;48.995;2996599
49.59;50.86;49.33;50.40;3732515
49.70;50.48;49.30;49.60;2514499
49.455;50.19;49.065;49.94;2045103
50.56;50.84;50.25;50.74;2115902
50.64;50.64;48.90;49.16;2910486
49.98;50.04;49.225;49.275;2285466
49.49;49.87;48.25;48.755;2579190
49.18;49.545;47.095;47.425;4464655
48.30;49.255;47.90;49.09;2788536
48.10;48.51;47.505;47.505;3827475
47.88;48.70;47.605;48.265;3043491
47.86;47.915;45.255;45.62;4456979
44.50;46.875;44.26;46.50;3884260
46.63;46.97;45.405;46.89;5801224
47.19;47.80;46.835;47.80;3136122
48.00;48.05;46.82;47.69;2730016
48.17;49.00;47.90;48.395;3212906
48.10;49.97;47.945;48.935;3918032
48.81;49.195;48.50;48.835;1501878
48.41;49.60;47.55;48.255;3124823
48.105;48.89;47.51;47.92;3335507
47.92;49.14;47.63;48.90;2557143
48.85;49.44;48.38;48.38;2455827
49.10;49.44;48.05;48.90;1833478
49.005;49.44;47.535;47.90;3080703
48.235;49.15;48.03;49.15;2843060
48.525;48.83;47.50;47.50;4205257
47.65;47.70;46.25;46.30;7050139
46.575;47.60;46.29;47.60;2110128
47.965;48.565;47.40;47.79;2018891
48.24;48.545;47.905;48.36;1275447
48.50;48.545;47.91;48.51;310639
48.77;49.235;48.52;49.09;1052222
49.28;49.875;49.15;49.345;1461972
49.50;49.79;48.81;49.10;905432
49.46;49.65;48.95;48.95;530267
49.215;50.24;49.21;50.24;1825303
50.05;50.78;49.50;49.915;2649565
50.18;50.38;49.585;49.92;1718807
49.60;51.37;49.50;51.31;2757126
51.55;52.51;51.27;52.08;3663566
52.64;53.12;51.96;52.20;1902940
52.34;52.46;51.37;51.67;2160023
49.00;50.20;48.60;50.19;6562026
50.68;50.77;49.66;50.40;2302255
50.39;50.63;48.66;49.025;4518370
48.955;49.26;48.50;48.505;2085630
48.255;48.50;46.76;48.12;3466031
47.635;48.08;46.64;47.00;3077895
47.505;47.675;44.685;44.77;5039744
43.83;44.875;41.54;42.44;11315372
42.49;43.76;42.46;43.03;8192836
42.56;43.75;42.31;43.515;4372620
42.85;43.615;42.265;42.845;4476194
43.95;44.13;41.81;41.81;5290498
42.74;42.90;41.965;42.205;5202764
41.72;42.70;41.45;42.52;4145487
42.21;43.855;42.065;43.55;4807921
43.97;44.195;42.10;42.52;4144160
42.52;42.94;39.42;40.06;8297879
39.39;40.165;38.38;38.38;8179808
38.65;39.35;37.225;38.80;5676320
38.60;40.295;38.24;39.56;5254517
40.49;41.49;40.31;41.245;6534250
41.50;41.80;39.67;40.26;5222254
40.45;40.87;38.56;39.00;4433765
39.325;39.72;38.92;39.22;1809798
39.88;41.045;39.83;41.00;3930851
41.605;42.66;41.25;42.00;4239371
40.50;40.87;38.88;38.975;11879505
38.50;39.99;38.20;39.70;6547543
39.99;40.85;39.85;40.52;4085059
40.84;41.025;39.385;39.555;4286208
39.70;40.44;39.465;40.24;3527907
39.85;41.18;39.66;39.79;5004979
40.31;40.71;39.445;40.40;4295374
40.79;41.39;40.475;41.275;3308556
40.925;42.15;40.87;42.02;3242333
42.09;42.95;41.58;42.86;3880465
42.23;43.885;42.16;42.88;4946626
43.20;44.95;43.15;44.95;5431321
45.275;45.61;44.17;44.305;4284324
44.08;44.345;42.735;43.645;4003865
43.26;44.80;43.20;44.80;3468536
44.23;44.605;43.61;44.00;3450514
